Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
29-NOV-2019|AALI|EQUITY|1924688333|12600|59804814|2318445|65195861|49700|45001270|71712577|280659|2154764|5410927|251929017|1601254|4022125|14956878|21792926|1591873|49502106|29435672|386922|15570720|138860476
29-NOV-2019|ABBA|EQUITY|2755125000|114|0|1692036765|0|0|589631999|0|171043|100000|800000|2282739807|0|5000|0|11386800|417000|0|2339700|0|0|14148500
29-NOV-2019|ABDA|EQUITY|620806680|6975|21885|47364282|0|98|47939472|0|7500|873284|0|96206521|0|426144555|0|97416200|500|0|0|0|62|523561317
29-NOV-2019|ABMM|EQUITY|2753165000|1450|11370000|6961500|1600|0|40113500|6257000|440500|0|0|65144100|0|57405400|0|34678500|426600|295799000|4500|0|152237900|540551900
29-NOV-2019|ACES|EQUITY|17150000000|1580|197266627|72781100|14319288|0|183149511|98171526|206212|155400|252500|566302164|9820000|543289694|979119748|578443734|309800|2888159831|209502438|2358100|1087694491|6298697836
29-NOV-2019|ACST|EQUITY|700000000|1010|252560|517910840|3122600|0|28490116|13112940|100804|0|0|562989860|0|9665200|7820600|23379880|8753220|38016080|6126100|0|43249060|137010140
29-NOV-2019|ADES|EQUITY|589896800|1010|108000|145500|208500|350|31436277|1092500|411|25000|0|33016538|0|540501713|0|14749121|350500|0|256500|0|0|555857834
29-NOV-2019|ADFO|EQUITY|745543638|0|10000|115720120|0|0|58212000|0|1903000|0|0|175845120|0|147319420|0|46500|144476570|0|0|0|243009528|534852018
29-NOV-2019|ADHI|EQUITY|3560849376|1075|170067037|13417006|83952624|5000|627734291|256789446|60217724|18498251|362000|1231043379|5409532|47903770|40587341|24279016|4262843|187897445|56357853|0|147051573|513749373
29-NOV-2019|ADMF|EQUITY|1000000000|10400|4366800|455600|0|920700000|23888700|19921500|41500|0|0|969374100|32700|35600|301542|12394500|394400|12807666|302000|44000|4213492|30525900
29-NOV-2019|ADMG|EQUITY|3889179559|184|1030000|994380100|2993000|0|402357287|160083|450027|0|0|1401370497|0|95600|1003400|38072147|2322600|54241700|12805996|0|4582843|113124286
29-NOV-2019|ADRO|EQUITY|31985962000|1230|1220689700|15675447143|988873900|0|6588641942|1069245441|19716569|32935500|2902500|25598452695|89837304|949825420|705618383|838536406|15169042|1575598022|490846328|43963200|1678115200|6387509305
29-NOV-2019|AGAR|EQUITY|1000000000|1|0|793110400|0|0|206889400|0|0|0|0|999999800|0|200|0|0|0|0|0|0|0|200
29-NOV-2019|AGII|EQUITY|3066660000|585|0|1361396057|23409100|0|128679700|4672100|182|0|0|1518157139|0|943200|0|262573178|291000|45584200|155795700|0|50451400|515638678
29-NOV-2019|AGRO|EQUITY|21343290230|140|379550700|2883244|1238753046|18529210847|788958040|93998798|1607323|103537484|3025100|21141524582|0|393234|0|2177636|2990712|0|2136440|0|2465853|10163875
29-NOV-2019|AGRS|EQUITY|7108349644|163|0|5523437|0|20158930|46467237|1587900|0|0|1434781|75172285|0|150413762|0|0|2082391|0|55100|0|6828064340|6980615593
29-NOV-2019|AHAP|EQUITY|2940000000|59|1827142432|220710666|0|0|498422668|661100|3965|0|0|2546940831|147816500|0|0|0|240798415|0|103341|0|55|388718311
29-NOV-2019|AIMS|EQUITY|220000000|180|0|184461690|0|0|35367710|0|18100|0|0|219847500|0|0|0|100|2000|0|400|0|0|2500
29-NOV-2019|AISA|EQUITY|3218600000|168|770100|217538886|9729500|0|1196761889|21822300|942282|590000|9156615|1457311572|250000|913939985|2082500|148678750|13979100|364295622|78891355|0|238543116|1760660428
29-NOV-2019|AKKU|EQUITY|6449463636|50|0|5713870000|0|0|440138636|0|73199400|0|0|6227208036|0|196154300|0|0|1059000|0|2042300|0|23000000|222255600
29-NOV-2019|AKPI|EQUITY|680000000|352|4000|213183673|0|2|28550071|17500|2122|0|0|241757368|0|0|34|22501|97203|0|97500|0|10300|227538
29-NOV-2019|AKRA|EQUITY|4014694920|3400|109568000|483872100|27609500|0|157494711|202209098|4911839|1276000|741100|987682348|2123200|82344372|120370663|88843122|10000100|534921635|50439562|53500|195590598|1084686752
29-NOV-2019|AKSI|EQUITY|720000000|980|0|8275110|0|0|48572990|0|0|0|0|56848100|0|0|0|690400|0|0|0|0|0|690400
